"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7804","CP04_Cancelación de la creación de etapa","","2025-12-19","passed","2025-12-19","","58291 Creación de etapa del proceso electoral","",""
"","11639","CP4_Validar el comportamiento del campo tipo de delegado","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","8748","CP05_Validar información de subactividades al editar o eliminar","","2025-12-19","passed","2025-12-19","","62774 Visualizar Subactividades asociadas a una Actividad","",""
"","6769","CP23_Validar múltiples horas de notificación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","5702","CP02_Validar encabezado del módulo","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","13395","CP02_Validar la estructura de la pantalla modificar","","2025-12-19","passed","2025-12-19","","58140 Modificación de envío de alertas o notificación","",""
"","22959","CP06_Validar botones del formulario","","2025-12-19","passed","2025-12-19","","58140 Modificación de envío de alertas o notificación","",""
"","13532","CP32_Validar cancelación en confirmación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","11658","CP05_Consulta exitosa con resultados","","2025-12-19","passed","2025-12-19","","58361 Administrar Pregunta por actividad o subactividad","",""
"","13767","CP04_Intentar cargar archivo vacío","","2025-12-19","passed","2025-12-19","","58249 Cargue Inicial de Archivo Jurados","",""
"","31202","CP04_Validaciones de campos (agrupación de todas las validaciones)","","2025-12-19","passed","2025-12-19","","57827 Configurar fechas por etapas","",""
"","10264","CP03_En el modal de confirmación hacer clic en la opción NO","","2025-12-19","passed","2025-12-19","","58367 Eliminar pregunta por actividad o subactividad","",""
"","6843","CP03_Validar estructura de la pantalla de Administrar actividades al editar","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","6540","CP02_Verificar encabezado módulo y submódulo","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","7172","CP5_Validar filtros que se muestren por defecto","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","28153","CP03_Cargue exitoso de archivo válido","","2025-12-19","passed","2025-12-19","","58249 Cargue Inicial de Archivo Jurados","",""
"","6021","CP09_Perfil sesión expirada","","2025-12-19","passed","2025-12-19","","63319 Mostrar perfil de usuario autenticado","",""
"","7831","CP07_Validar tipo de respuesta obligatorio","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","8530","CP05_Validación del archivo de “Agrupaciones politicas"" excede limite de tamaño 5MB","","2025-12-19","passed","2025-12-19","","62750 Cargue de Archivo de Agrupaciones Políticas","",""
"","6796","CP02_Validar la acción al dar clic en el botón de edición en el modulo de Actividad por etapa","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","14756","CP29_Validar cálculo del número X de notificaciones","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","16419","CP09_Envío inmediato con checkbox marcado","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","7282","CP04_Validación del archivo de “Agrupaciones politicas"" extensión incorrecta","","2025-12-19","passed","2025-12-19","","62750 Cargue de Archivo de Agrupaciones Políticas","",""
"","6894","CP4_Validar grid oculto por defecto hasta realizar consulta","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","6733","CP19_Validar selección de hora obligatoria","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","9439","CP01_Apertura del modal Crear Notificación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","22320","CP03_Validar el Comportamiento de listas desplegables y dependencias","","2025-12-19","passed","2025-12-19","","57827 Configurar fechas por etapas","",""
"","8962","CP2_Validar estructura de la modal de editar sub-actividades","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","10385","CP07_Validar campos del formulario de creación de alerta","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","8353","CP02_Validar la estructura de la pantalla","","2025-12-19","passed","2025-12-19","","58378 Creación de sub - actividad para una actividad","",""
"","5681","CP03_Validación de campos obligatorios en filtros","","2025-12-19","passed","2025-12-19","","58361 Administrar Pregunta por actividad o subactividad","",""
"","6917","CP03_Cancelación de la eliminación desde el modal opción No","","2025-12-19","passed","2025-12-19","","58296 Eliminar etapa del proceso electoral","",""
"","10428","CP11_Validar al dar clic en guardar los datos editados y se confirma SI","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","9301","CP9_Validar que el campo Etapa sea obligatorio","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","16726","CP05_Validar que no permita guardar si existen errores o campos vacíos","","2025-12-19","passed","2025-12-19","","57827 Configurar fechas por etapas","",""
"","10090","CP9_Validar consulta exitosa","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","7601","CP06_Listado de alertas y columnas","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","18641","CP07_Rechazo por estructura incorrecta","","2025-12-19","passed","2025-12-19","","58249 Cargue Inicial de Archivo Jurados","",""
"","7225","CP3_Validar comportamiento botones crear actividad y subactividad","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","14051","CP06_Botones del formulario","","2025-12-19","passed","2025-12-19","","58366 Modificación de pregunta por actividad o subactividad","",""
"","8923","CP01_Validar estructura de la pantalla","","2025-12-19","passed","2025-12-19","","58361 Administrar Pregunta por actividad o subactividad","",""
"","6230","CP06_Validar campos de datos de la notificación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","11620","CP04_Validar campo Estado y botones del formulario de creación","","2025-12-19","passed","2025-12-19","","58309 Creación de Actividad para una etapa","",""
"","12292","CP01_Eliminación exitosa de una actividad configurada en una etapa","","2025-12-19","passed","2025-12-19","","58311 Eliminar actividad de una etapa","",""
"","11129","CP12_Validar que Tipo de delegado se muestre correctamente","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","13103","CP1_Validar acceso desde el listado de sub-actividades","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","5597","CP05_Perfil visualización ubicación","","2025-12-19","passed","2025-12-19","","63319 Mostrar perfil de usuario autenticado","",""
"","9165","CP02_Validar que al hacer clic en el icono de eliminar se muestre la modal de confirmación","","2025-12-19","passed","2025-12-19","","58367 Eliminar pregunta por actividad o subactividad","",""
"","9960","CP01_Visualización del botón y apertura del modal de confirmación de eliminación","","2025-12-19","passed","2025-12-19","","58296 Eliminar etapa del proceso electoral","",""
"","5285","CP02_Perfil icono predeterminado sin foto","","2025-12-19","passed","2025-12-19","","63319 Mostrar perfil de usuario autenticado","",""
"","5933","CP03_Validar panel lateral con menú Dashboard","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","6585","CP21_Validar check “Requiere envío de mensaje de texto”","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","7021","CP02_Estructura de la pantalla ""Cargue Archivos Basicos""","","2025-12-19","passed","2025-12-19","","62750 Cargue de Archivo de Agrupaciones Políticas","",""
"","12860","CP06_Rechazo por tamaño mayor a 5MB","","2025-12-19","passed","2025-12-19","","58249 Cargue Inicial de Archivo Jurados","",""
"","9263","CP7_Validar botón limpiar","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","8670","CP03_Validar cuando se selecciona NO en la confirmación al momento de eliminar el registro","","2025-12-19","passed","2025-12-19","","58380 Eliminar sub - actividad para una actividad","",""
"","9580","CP04_Eliminar pregunta exitosamente","","2025-12-19","passed","2025-12-19","","58367 Eliminar pregunta por actividad o subactividad","",""
"","10271","CP14_Manejo de fallo de envío (mensaje de error delegados)","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","13368","CP7_Validación de duplicado del nombre sub-actividad para la misma actividad y etapa","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","6019","CP02_Validación de la estructura visual de la pantalla","","2025-12-19","passed","2025-12-19","","58249 Cargue Inicial de Archivo Jurados","",""
"","14476","CP18_Validar inactivar registro de etapa del proceso","","2025-12-19","passed","2025-12-19","","58294 Modificación de etapa del proceso","",""
"","11670","CP02_Estructura de la pantalla / modal de edición","","2025-12-19","passed","2025-12-19","","58366 Modificación de pregunta por actividad o subactividad","",""
"","12852","CP16_Envío por SMS cuando check activado","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","11304","CP07_Funcionalidad del botón “Limpiar”","","2025-12-19","passed","2025-12-19","","58361 Administrar Pregunta por actividad o subactividad","",""
"","9580","CP13_Validar campos obligatorios de formulario","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","11640","CP01_Validar que se visualice el icono de eliminar en la grilla en la columna de acciones","","2025-12-19","passed","2025-12-19","","58380 Eliminar sub - actividad para una actividad","",""
"","9939","CP01_Validar acceso a la pantalla de administrar envío de Alertas o notificaciones","","2025-12-19","passed","2025-12-19","","58105 Administrar envío de alertas o notificaciones - Consulta de alertas o notificaciones","",""
"","8582","CP02_Validar estructura de la pantalla Visualizar subactividades","","2025-12-19","passed","2025-12-19","","62774 Visualizar Subactividades asociadas a una Actividad","",""
"","7694","CP01_Perfil visualización datos básicos","","2025-12-19","passed","2025-12-19","","63319 Mostrar perfil de usuario autenticado","",""
"","16070","CP03_Validaciones de campos del formulario","","2025-12-19","passed","2025-12-19","","58366 Modificación de pregunta por actividad o subactividad","",""
"","11509","CP03_Validar formulario de creación de actividad","","2025-12-19","passed","2025-12-19","","58309 Creación de Actividad para una etapa","",""
"","12587","CP11_Validar pop up o mensaje de confirmación de cambios","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","7560","CP13_Validar campo Estado por defecto","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","8531","CP10_Validar al dar clic en guardar al editar un registro","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","9490","CP10_Validar dependencia Subactividad - Actividad","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","14814","CP17_Programación de envío futuro mes año","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","13903","CP30_Validar creación exitosa","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","11366","CP5_Validacion del campo Nombre Subactividad vació","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","9790","CP04_Validación de campos del formulario al editar registro de Actividad por etapa","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","9882","CP01_Visualización del formulario de creación de etapa","","2025-12-19","passed","2025-12-19","","58291 Creación de etapa del proceso electoral","",""
"","12065","CP25_Validar comportamiento de botón Cancelar","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","6399","CP05_Menú lateral y opción Dashboard resaltada","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","9789","CP10_Consulta sin resultados o registros","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","18098","CP03_Validar los campos del formulario de modificación","","2025-12-19","passed","2025-12-19","","58140 Modificación de envío de alertas o notificación","",""
"","7498","CP09_Validar dependencia Actividad - Etapa","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","18058","CP10_Programación de envío futuro","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","13482","CP17_Validar uso de parámetros en cuerpo del mensaje","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","8077","CP04_Consulta exitosa con filtro aplicado","","2025-12-19","passed","2025-12-19","","58289 Administrar Etapa del Proceso electoral - Consulta de etapa proceso electoral","",""
"","10369","CP12_Habilitar formulario dependencia","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","7390","CP08_Validar carga de etapas en lista desplegable","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","10391","CP01_Validar acceso al formulario de creación","","2025-12-19","passed","2025-12-19","","58309 Creación de Actividad para una etapa","",""
"","14308","CP31_Validar cierre de modal tras creación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","8974","CP02_Cancelación del proceso de eliminacióna","","2025-12-19","passed","2025-12-19","","58311 Eliminar actividad de una etapa","",""
"","12629","CP11_Detección de mensajes duplicados (alerta)","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","7096","CP15_Validar mensajes de error longitud","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","6296","CP04_Filtros fecha inicial y final presentes","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","16212","CP03_Validar listas desplegables etapa actividad subactividad","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","7469","CP04_Verificar tarjetas de métricas visibles","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","8396","CP11_Validar al dar clic en guardar los datos editados y se confirma","","2025-12-19","passed","2025-12-19","","58294 Modificación de etapa del proceso","",""
"","6386","CP26_Validar botón de cierre (X)","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","11008","CP01_Abrir modal Crear alerta","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","7317","CP14_Validar presencia de campo Cuerpo de notificación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","7669","CP03_Validación del archivo de “Agrupaciones politicas"" publicado en el sistema (Subir archivo) - No validación de campos","","2025-12-19","passed","2025-12-19","","62750 Cargue de Archivo de Agrupaciones Políticas","",""
"","9327","CP16_Validar que al realizar una nueva consulta refresque totalmente los resultados ","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","13334","CP6_Validar longitud del campo Nombre de sub-actividad","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","6815","CP06_Tarjetas de indicadores","","2025-12-19","passed","2025-12-19","","58361 Administrar Pregunta por actividad o subactividad","",""
"","8201","CP18_Validar campo Hora de notificación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","10406","CP10_Agregar opciones respuesta","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","10990","CP05_Rechazo por extensión incorrecta","","2025-12-19","passed","2025-12-19","","58249 Cargue Inicial de Archivo Jurados","",""
"","9345","CP1_Validar que al ingresar al modulo se visualice el botón de editar en la columna de acciones","","2025-12-19","passed","2025-12-19","","58294 Modificación de etapa del proceso","",""
"","6533","CP3_Correo obligatorio y validación existencia","","2025-12-19","passed","2025-12-19","","57788 Recuperación de Contraseña desde Login Web","",""
"","12543","CP05_Tipo de respuesta","","2025-12-19","passed","2025-12-19","","58366 Modificación de pregunta por actividad o subactividad","",""
"","12678","CP07_Cargue exitoso de archivo valido","","2025-12-19","passed","2025-12-19","","62750 Cargue de Archivo de Agrupaciones Políticas","",""
"","14964","CP14_Validar duplicidad pregunta","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","7649","CP3_Login exitoso redirección home","","2025-12-19","passed","2025-12-19","","57775 Autenticación de Usuarios mediante Login","",""
"","7868","CP2_Validar la acción al dar clic en el botón de edición en el modulo de Etapas del proceso","","2025-12-19","passed","2025-12-19","","58294 Modificación de etapa del proceso","",""
"","8047","CP9_Validar que si existe un campo vacio no guarde el registro","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","6308","CP06_Validar el botón de Crear alerta","","2025-12-19","passed","2025-12-19","","58105 Administrar envío de alertas o notificaciones - Consulta de alertas o notificaciones","",""
"","6382","CP4_Login usuario inexistente o inactivo","","2025-12-19","passed","2025-12-19","","57775 Autenticación de Usuarios mediante Login","",""
"","41274","CP07_Validar la Funcionalidad Limpiar","","2025-12-19","passed","2025-12-19","","57827 Configurar fechas por etapas","",""
"","14636","CP17_Acción botón guardar confirmación","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","7200","CP12_Validar que cada pagina muestre la cantidad adecuada de registros","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","7924","CP05_Validar la funcionalidad de la consulta","","2025-12-19","passed","2025-12-19","","58105 Administrar envío de alertas o notificaciones - Consulta de alertas o notificaciones","",""
"","6861","CP15_Validar tarjeta de totales de actividades de creadas","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","6604","CP02_Estructura visual formulario creación","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","7548","CP02_Validar estructura panel izquierdo y pantalla principal","","2025-12-19","passed","2025-12-19","","58309 Creación de Actividad para una etapa","",""
"","7073","CP05 Validar texto de pregunta longitud máxima","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","9380","CP04_Validar cuando se selecciona SI en la confirmación al momento de eliminar el registro","","2025-12-19","passed","2025-12-19","","58380 Eliminar sub - actividad para una actividad","",""
"","9851","CP06_Acciones en la grilla, creación y log de auditoría","","2025-12-19","passed","2025-12-19","","58289 Administrar Etapa del Proceso electoral - Consulta de etapa proceso electoral","",""
"","11125","CP02_Confirmación de eliminación exitosa","","2025-12-19","passed","2025-12-19","","58296 Eliminar etapa del proceso electoral","",""
"","7227","CP8_Seguridad en sesión","","2025-12-19","passed","2025-12-19","","57775 Autenticación de Usuarios mediante Login","",""
"","7948","CP04_Dependencia de listas desplegables","","2025-12-19","passed","2025-12-19","","58361 Administrar Pregunta por actividad o subactividad","",""
"","10082","CP17_Validar editar registro con nombre de la Actividad ya existente","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","10768","CP8_Validar que el campo Actividad sea obligatorio","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","6763","CP02_Validar el comportamiento del acordeón.","","2025-12-19","passed","2025-12-19","","57827 Configurar fechas por etapas","",""
"","16052","CP01_Validar la estructura completa de la pantalla","","2025-12-19","passed","2025-12-19","","57827 Configurar fechas por etapas","",""
"","6271","CP03_Indicadores tarjetas visibles y valores","","2025-12-19","passed","2025-12-19","","58127 Creación de envío de alertas o notificación","",""
"","6503","CP16_Validar campo estado solo lectura","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","15347","CP04_Validar errores y validaciones en la pantalla","","2025-12-19","passed","2025-12-19","","58140 Modificación de envío de alertas o notificación","",""
"","6939","CP2_Validar estructura de la pantalla","","2025-12-19","passed","2025-12-19","","58307 Administrar Actividades - Consulta de Actividades","",""
"","9715","CP08_Validar que no permita guardar si hay error en algún campo","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","13163","CP28_Validar confirmación antes de crear notificación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","2823","CP1_Acceso a pantalla recuperación de contraseña","","2025-12-19","passed","2025-12-19","","57788 Recuperación de Contraseña desde Login Web","",""
"","12476","CP01_Validar que al ingresar al modulo se visualice el botón de Eliminar en la columna de acciones","","2025-12-19","passed","2025-12-19","","58367 Eliminar pregunta por actividad o subactividad","",""
"","13089","CP04 - Validar los botones del formulario","","2025-12-19","passed","2025-12-19","","58378 Creación de sub - actividad para una actividad","",""
"","10289","CP01_Acceso a la pantalla ""Administrar Etapa del Proceso Electoral","","2025-12-19","passed","2025-12-19","","58289 Administrar Etapa del Proceso electoral - Consulta de etapa proceso electoral","",""
"","15483","CP04_Comportamiento de listas desplegables dependientes","","2025-12-19","passed","2025-12-19","","58366 Modificación de pregunta por actividad o subactividad","",""
"","15066","CP09_Visualización de campos respuesta cerrada","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","11753","CP03_Validación Búsqueda de etapas (consultas exitosas, sin resultados y campo obligatorio)","","2025-12-19","passed","2025-12-19","","58289 Administrar Etapa del Proceso electoral - Consulta de etapa proceso electoral","",""
"","19364","CP4_Validación de campos del formulario al editar registro de Etapas del proceso","","2025-12-19","passed","2025-12-19","","58294 Modificación de etapa del proceso","",""
"","6413","CP02_Validar estructura de la pantalla","","2025-12-19","passed","2025-12-19","","58105 Administrar envío de alertas o notificaciones - Consulta de alertas o notificaciones","",""
"","5114","CP04_Perfil visualización rol usuario","","2025-12-19","passed","2025-12-19","","63319 Mostrar perfil de usuario autenticado","",""
"","10561","CP20_Validar que las listas desplegables permiten búsqueda","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","12393","CP06_Validación de cada uno de los campos del ""Archivo Basico"" publicado en el sistema","","2025-12-19","passed","2025-12-19","","62750 Cargue de Archivo de Agrupaciones Políticas","",""
"","9335","CP10_Validar que el campo Estado sea obligatorio","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","13998","CP05_Validar duplicidad de alertas","","2025-12-19","passed","2025-12-19","","58140 Modificación de envío de alertas o notificación","",""
"","7372","CP04_Validar campo orden pregunta numérico","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","11909","CP01_Validar acceso a la pantalla Visualizar subactividades","","2025-12-19","passed","2025-12-19","","62774 Visualizar Subactividades asociadas a una Actividad","",""
"","8018","CP18 Validar inactivar registro de actividad sin subactividades","","2025-12-19","passed","2025-12-19","","58310 Modificación de Actividad por etapa","",""
"","15205","CP1_Campos obligatorios pantalla inicial","","2025-12-19","passed","2025-12-19","","57775 Autenticación de Usuarios mediante Login","",""
"","7881","CP08_Visualización campo respuesta abierta","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","9252","CP8_Validar que no permita guardar si hay error en algún campo","","2025-12-19","passed","2025-12-19","","58294 Modificación de etapa del proceso","",""
"","11447","CP18_Cancelar creación pregunta","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","9594","CP06_Validar texto pregunta obligatorio","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","6481","CP22_Validar botón Agregar hora de notificación","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","6491","CP27_Validar botón Guardar visible y activo","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","7015","CP07_Validar campo Nombre de la etapa obligatorio","","2025-12-19","passed","2025-12-19","","63126 Creación de notificación automática para actividades y subactividades (ID: 64442)","",""
"","7988","CP05_Funcionalidad del botón Limpiar","","2025-12-19","passed","2025-12-19","","58289 Administrar Etapa del Proceso electoral - Consulta de etapa proceso electoral","",""
"","10569","CP03_Validación de campos obligatorios y mensajes de validación","","2025-12-19","passed","2025-12-19","","58291 Creación de etapa del proceso electoral","",""
"","10833","CP11_Eliminar opción respuesta","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
"","10411","CP3_Validar listas desplegables etapa y nombre de actividad","","2025-12-19","passed","2025-12-19","","58379 Modificación de sub - actividad para una actividad","",""
"","14906","CP01_Acceso a la pantalla de edición","","2025-12-19","passed","2025-12-19","","58366 Modificación de pregunta por actividad o subactividad","",""
"","11770","CP20_Visualizar pregunta creada formulario asignado","","2025-12-19","passed","2025-12-19","","58363 Creación de pregunta por actividad o subactividad","",""
